timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678858911572,131,HTTP request,200,OK,Web endpoint test 1-5,text,true,,109169,117,5,5,http://www.bing.com/,47,0,0
1678858911574,132,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109458,117,5,5,http://www.bing.com/,57,0,0
1678858911575,131,HTTP request,200,OK,Web endpoint test 1-4,text,true,,107791,117,5,5,http://www.bing.com/,59,0,0
1678858911574,133,HTTP request,200,OK,Web endpoint test 1-1,text,true,,110106,117,5,5,http://www.bing.com/,59,0,0
1678858911680,140,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109139,117,5,5,http://www.bing.com/,56,0,0
1678858911703,128,HTTP request,200,OK,Web endpoint test 1-5,text,true,,106425,117,5,5,http://www.bing.com/,53,0,0
1678858911707,128,HTTP request,200,OK,Web endpoint test 1-4,text,true,,109145,117,5,5,http://www.bing.com/,49,0,0
1678858911707,131,HTTP request,200,OK,Web endpoint test 1-1,text,true,,109453,117,5,5,http://www.bing.com/,56,0,0
1678858911706,132,HTTP request,200,OK,Web endpoint test 1-3,text,true,,109459,117,5,5,http://www.bing.com/,59,0,0
1678858911821,127,HTTP request,200,OK,Web endpoint test 1-2,text,true,,109145,117,5,5,http://www.bing.com/,49,0,0
1678858911832,128,HTTP request,200,OK,Web endpoint test 1-5,text,true,,109431,117,5,5,http://www.bing.com/,52,0,0
